community_area,reporting_year,median_site_eui,median_ghg_emissions,mean_energy_star_score,median_water_use,num_buildings
LOWER WEST SIDE,2023,83.3,678.0,59.375,,18
Lake View,2019,64.2,941.5999999999999,70.61538461538461,3254.0,15
Lake View,2020,74.0,603.3,58.81818181818182,2090.5,19
Lake View,2021,68.8,995.3,58.25,,18
Lake View,2022,73.3,926.6,46.90909090909091,,17
Lake View,2023,88.2,1001.25,49.4,,17
Lake View,2024,72.75,578.8,66.69655172413793,4534.0,197
Lakeview,2021,31.8,616.1,97.0,,1
Lakeview,2022,34.9,634.0,94.0,,1
Lakeview,2023,34.8,606.6,95.0,,1
Lincoln Park,2019,53.95,733.2,63.666666666666664,2287.5,7
Lincoln Park,2020,62.6,1245.4,60.333333333333336,,10
Lincoln Park,2021,47.0,715.45,67.11111111111111,,13
Lincoln Park,2022,51.349999999999994,713.2,69.44444444444444,,12
Lincoln Park,2023,48.150000000000006,664.3,71.18181818181819,,12
Lincoln Park,2024,72.75,698.55,63.22222222222222,4067.0,144
Lincoln Square,2019,140.85,1864.5,51.0,4067.5,2
Lincoln Square,2020,144.95,1866.5,70.0,7824.0,2
Lincoln Square,2021,132.0,1706.7,82.0,,2
Lincoln Square,2022,116.64999999999999,1479.0,77.0,,2
Lincoln Square,2023,147.3,1946.7,,,2
Lincoln Square,2024,90.6,498.0,41.4,1647.0,25
Logan Square,2019,74.45,705.3,66.25,2654.0,7
Logan Square,2020,68.5,741.0,65.0,,10
Logan Square,2021,60.650000000000006,981.65,58.833333333333336,,14
Logan Square,2022,65.5,607.8,68.5,,14
Logan Square,2023,66.0,492.8,78.6,,14
Logan Square,2024,67.19999999999999,536.25,61.55555555555556,3260.0,55
Loop,2019,59.2,1444.1,72.55555555555556,4230.0,13
Loop,2020,57.3,2857.3,75.0909090909091,7379.5,16
Loop,2021,53.6,1155.2,78.4,,19
Loop,2022,54.55,1105.25,75.54545454545455,,19
Loop,2023,57.2,1095.0,73.8,,19
Loop,2024,65.55,2345.7,63.09126984126984,6007.0,361
Lower West Side,2019,,,,424.0,1
Lower West Side,2020,,,,,1
Lower West Side,2021,,,,,1
Lower West Side,2022,,,,,1
Lower West Side,2023,,,,,1
Lower West Side,2024,81.0,583.7,59.90909090909091,2125.0,22
MCKINLEY PARK,2019,95.9,994.45,44.0,490.0,6
MCKINLEY PARK,2020,160.39999999999998,1831.9,53.5,3708.0,6
MCKINLEY PARK,2021,73.85,547.3,59.0,,6
MCKINLEY PARK,2022,94.3,1107.0,57.333333333333336,,6
MCKINLEY PARK,2023,75.3,1072.9,75.0,,6
MONTCLARE,2019,94.2,1654.0,46.6,2887.0,5
MONTCLARE,2020,92.35,1636.7,40.25,,5
MONTCLARE,2021,80.2,1331.2,54.2,,5
MONTCLARE,2022,80.0,1292.9,51.2,,5
MONTCLARE,2023,81.9,1169.9,56.0,,5
MORGAN PARK,2019,65.85,1439.9,63.166666666666664,838.0,11
MORGAN PARK,2020,147.75,1594.0500000000002,46.0,934.5,11
MORGAN PARK,2021,77.5,1205.9,39.6,,11
MORGAN PARK,2022,100.2,934.95,43.0,,11
MORGAN PARK,2023,81.6,1008.6,45.333333333333336,,11
MOUNT GREENWOOD,2019,99.75,2007.9,45.333333333333336,3765.0,5
MOUNT GREENWOOD,2020,109.75,,58.0,,5
MOUNT GREENWOOD,2021,84.35,1639.65,48.333333333333336,,5
MOUNT GREENWOOD,2022,87.15,1623.2,44.0,,5
MOUNT GREENWOOD,2023,89.44999999999999,1610.9499999999998,45.666666666666664,,5
Mckinley Park,2024,88.0,1561.0500000000002,75.0,4080.0,7
Montclare,2024,93.0,1105.2,59.333333333333336,5387.5,4
Morgan Park,2019,,,,1342.0,1
Morgan Park,2020,,,,,1
Morgan Park,2021,,,,,1
Morgan Park,2022,,,,,1
Morgan Park,2023,,,,,1
Morgan Park,2024,82.6,940.0,38.333333333333336,151.0,10
Mount Greenwood,2019,75.2,1304.2,,3575.0,1
Mount Greenwood,2020,72.5,1242.5,,,1
Mount Greenwood,2021,66.1,1090.9,,,1
Mount Greenwood,2022,63.9,1027.7,,,1
Mount Greenwood,2023,62.2,992.1,,,1
Mount Greenwood,2024,69.1,1970.6,48.5,21745.0,7
NEAR NORTH SIDE,2019,86.8,1806.6,51.03562340966921,5252.0,511
NEAR NORTH SIDE,2020,84.4,1864.3,51.67733333333333,9003.0,501
NEAR NORTH SIDE,2021,75.7,1422.65,57.30982367758186,,507
NEAR NORTH SIDE,2022,74.0,1385.6,57.681697612732094,,506
NEAR NORTH SIDE,2023,77.5,1378.9,58.653944020356235,,505
NEAR SOUTH SIDE,2019,81.2,1481.5,61.24285714285714,4789.0,89
NEAR SOUTH SIDE,2020,78.9,2060.35,58.25,11980.0,90
NEAR SOUTH SIDE,2021,74.5,1265.55,60.54545454545455,,91
NEAR SOUTH SIDE,2022,71.7,1256.3000000000002,61.803030303030305,,90
NEAR SOUTH SIDE,2023,73.1,1246.5,65.68115942028986,,90
NEAR WEST SIDE,2019,72.8,1295.0,59.984042553191486,2648.0,253
NEAR WEST SIDE,2020,71.6,1532.35,63.917159763313606,3186.5,254
NEAR WEST SIDE,2021,64.6,975.7,68.20202020202021,,255
NEAR WEST SIDE,2022,64.1,1001.55,69.67914438502673,,253
NEAR WEST SIDE,2023,66.5,1063.9,67.98913043478261,,254
NEW CITY,2019,85.5,710.75,45.05555555555556,1215.0,27
NEW CITY,2020,80.0,1078.2,58.9,507.0,27
NEW CITY,2021,73.3,605.0999999999999,50.68181818181818,,26
NEW CITY,2022,82.1,614.1,48.705882352941174,,26
NEW CITY,2023,79.4,605.35,55.84615384615385,,26
NORTH CENTER,2019,88.5,854.0,54.666666666666664,1116.0,20
NORTH CENTER,2020,92.7,557.5,63.333333333333336,1086.5,17
NORTH CENTER,2021,78.0,547.1,56.5,,20
NORTH CENTER,2022,81.4,631.9,49.0,,19
NORTH CENTER,2023,77.15,641.95,51.07692307692308,,20
NORTH LAWNDALE,2019,63.5,556.9,76.5,1634.0,24
NORTH LAWNDALE,2020,62.15,348.2,90.8,,24
NORTH LAWNDALE,2021,65.8,523.6,61.11764705882353,,24
NORTH LAWNDALE,2022,57.0,747.4,70.2,,23
NORTH LAWNDALE,2023,78.7,503.3,84.25,,23
NORTH PARK,2019,85.2,856.6,60.5,1184.0,19
NORTH PARK,2020,80.5,1315.5,71.85714285714286,,19
